NOP	=> 0x00
MOV SP,RCD	=> 0xd4

MOV RCD,SP	=> 0xd5

JMP {addr}	=> 0xd6 @ val[7:0] @ val[15:8]

JSR {addr}	=> 0xd7 @ val[7:0] @ val[15:8]

JCS {addr}	=> 0xd8 @ val[7:0] @ val[15:8]

JZS {addr}	=> 0xd9 @ val[7:0] @ val[15:8]

JNS {addr}	=> 0xda @ val[7:0] @ val[15:8]

JVS {addr}	=> 0xdb @ val[7:0] @ val[15:8]

JNC {addr}	=> 0xdc @ val[7:0] @ val[15:8]

JNZ {addr}	=> 0xdd @ val[7:0] @ val[15:8]

JNN {addr}	=> 0xde @ val[7:0] @ val[15:8]

JNV {addr}	=> 0xdf @ val[7:0] @ val[15:8]

JMP [RCD]	=> 0xe0

JSR [RCD]	=> 0xe1

JCS [RCD]	=> 0xe2

JZS [RCD]	=> 0xe3

JNS [RCD]	=> 0xe4

JVS [RCD]	=> 0xe5

JNC [RCD]	=> 0xe6

JNZ [RCD]	=> 0xe7

JNN [RCD]	=> 0xe8

JNV [RCD]	=> 0xe9

OUT {val},RA	=> 0xea @ v[7:0]

INP RA,{val}	=> 0xeb @ v[7:0]

OUT RB,RA	=> 0xec

INP RA,RB	=> 0xed

MOV RA,{addr},RB	=> 0xee @ val[7:0] @ val[15:8]

MOV RA,[{addr}],RB	=> 0xef @ val[7:0] @ val[15:8]
MOV {addr},RB,RA	=> 0xf0 @ val[7:0] @ val[15:8]
MOV [{addr}],RB,RA	=> 0xf1 @ val[7:0] @ val[15:8]
